Series Name;Series Code;Country Name;Country Code;2017;2018;2019;2020;2021
GDP (current US$);NY.GDP.MKTP.CD;Norway;NOR;398393955268.99;436.999.692.591.454;404.941.363.636.364;362198318435.26;482.437.019.790.454
GDP (current US$);NY.GDP.MKTP.CD;Oman;OMN;808.566.970.091.027;915.058.517.555.267;880.608.582.574.772;739.713.914.174.252;858.686.265.279.584
GDP (current US$);NY.GDP.MKTP.CD;Pakistan;PAK;339.205.615.769.187;356.128.224.957.085;320.909.489.229.723;300.306.331.697.668;346.343.170.486.072
GDP (current US$);NY.GDP.MKTP.CD;Palau;PLW;285300000;284700000;274200000;257700000;..
GDP (current US$);NY.GDP.MKTP.CD;Panama;PAN;62202725200;64929409200;66984427200;53977037000;63605065800
GDP (current US$);NY.GDP.MKTP.CD;Papua New Guinea;PNG;227.426.135.536.879;241.095.098.527.402;247.513.445.608.856;246.670.520.231.214;26.594.277.245.782
GDP (current US$);NY.GDP.MKTP.CD;Paraguay;PRY;389.971.294.735.558;402.254.483.406.322;37.925.338.329.156;354.321.780.681.756;389.868.109.890.011
GDP (current US$);NY.GDP.MKTP.CD;Peru;PER;211.007.207.483.515;222.597.212.925.211;228.323.495.040.901;201.705.055.938.653;223.249.497.500.387
GDP (current US$);NY.GDP.MKTP.CD;Philippines;PHL;328480867142.69;346842094175.24;376.823.278.561.196;361.751.116.292.541;394.086.419.343.056
GDP (current US$);NY.GDP.MKTP.CD;Poland;POL;526.508.877.305.321;587.411.745.161.558;597.280.564.671.563;596.624.355.719.671;674.048.266.397.369
GDP (current US$);NY.GDP.MKTP.CD;Portugal;PRT;221357874718.93;242.313.116.577.967;239.986.922.638.902;228.539.245.045.341;249.886.464.354.752
GDP (current US$);NY.GDP.MKTP.CD;Puerto Rico;PRI;1,03446E+11;1,00925E+11;1,04915E+11;1,03138E+11;..
GDP (current US$);NY.GDP.MKTP.CD;Qatar;QAT;161.099.122.215.307;183.334.953.813.209;175.837.550.996.185;144411363345.27;179.570.783.550.549
GDP (current US$);NY.GDP.MKTP.CD;Romania;ROU;211.695.422.578.655;241.457.403.085.042;249.881.592.298.072;249.511.333.647.502;284.087.563.695.798
GDP (current US$);NY.GDP.MKTP.CD;Russian Federation;RUS;1574199387070.9;1657329646183.62;1693113904262.89;1488321875489.74;1775799919352.98
GDP (current US$);NY.GDP.MKTP.CD;Rwanda;RWA;925.283.412.039.358;964.244.064.581.148;103.563.271.494.262;101.843.454.421.708;110.703.565.194.804
GDP (current US$);NY.GDP.MKTP.CD;Samoa;WSM;832.025.556.081.401;821.286.938.902.743;852.007.104.660.046;807.147.527.615.094;788.389.971.603.065
GDP (current US$);NY.GDP.MKTP.CD;San Marino;SMR;152.863.070.492.544;165.530.089.749.646;16.162.316.960.486;154.471.378.467.671;..
GDP (current US$);NY.GDP.MKTP.CD;Sao Tome and Principe;STP;375.614.126.193.877;412.253.809.728.799;427.425.039.684.339;47.291.446.991.933;547.092.915.036.334
GDP (current US$);NY.GDP.MKTP.CD;Saudi Arabia;SAU;688586094412.68;816.578.674.529.141;803.616.264.791.024;703.367.841.222.555;833.541.236.569.315
GDP (current US$);NY.GDP.MKTP.CD;Senegal;SEN;209.965.647.515.994;231.168.978.470.474;23.398.811.423.578;244.931.575.832.282;276.253.883.521.688
GDP (current US$);NY.GDP.MKTP.CD;Serbia;SRB;441.790.552.798.887;506.406.502.214.622;515.142.223.818.428;533.350.164.254.148;630.681.346.011.254
GDP (current US$);NY.GDP.MKTP.CD;Seychelles;SYC;157.342.827.712.074;163.631.004.939.694;168.422.852.867.297;120.063.448.934.841;132.005.379.303.903
GDP (current US$);NY.GDP.MKTP.CD;Sierra Leone;SLE;371.936.910.734.992;408.511.479.422.324;407.657.854.256.207;406.328.944.958.795;420.038.012.432.911
GDP (current US$);NY.GDP.MKTP.CD;Singapore;SGP;343.193.352.161.634;376.998.146.500.593;375.472.731.271.075;345.295.933.898.674;396.986.899.888.351
GDP (current US$);NY.GDP.MKTP.CD;Sint Maarten (Dutch part);SXM;119.162.011.173.184;11.854.748.603.352;..;..;..
GDP (current US$);NY.GDP.MKTP.CD;Slovak Republic;SVK;953.935.150.777.472;105.612.792.516.582;105.284.375.640.698;105.172.564.491.569;114.870.706.410.165
GDP (current US$);NY.GDP.MKTP.CD;Slovenia;SVN;485.891.000.430.954;54163591695.32;541.788.776.059.999;535.896.095.807.099;61.526.331.889.499
GDP (current US$);NY.GDP.MKTP.CD;Solomon Islands;SLB;148.379.346.806.299;157.462.201.823.326;157.009.322.925.588;154.588.842.623.031;164.521.388.162.016
